id,business_category,product_name,product_number,product_type,product_trigram,prerequisite,available_pricing,default_support_level,ext_enterprise_user,remote_access,licensing_structure,withdrawn_after,portfolio_type,portfolio_product,included_product_numbers,included_item_names,ds_offerings
2118,V5,CATIA - Business Process Knowledge Template 3 Product,5AP-BKT,Add-On,BKT,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2374,V5,CATIA - STRUCTURE DESIGN 1 Product,5CP-SR1,Shareable,SR1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2630,V5,DELMIA - DPM Assembly Process Simulation 2 Product,5AP-APS,Add-On,APS,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2886,V5,DELMIA - General Assembly Simulation,5AP-GSU,Add-On,GSU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2119,V5,CATIA - COM 1 to 2 EXTENSION Product,5CP-C12,Shareable,C12,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2375,V5,CATIA MECHANICAL SURFACE REFINEMENT 2 Product,5AP-SRF,Add-On,SRF,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2631,V5,DELMIA - Arc Welding 2 Product,5AP-ARW,Add-On,ARW,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2887,V5,DELMIA - General Assembly Simulation,5CP-GSU,Shareable,GSU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2120,V5,CATIA - COM 1 to 2 EXTENSION Product,5AP-C12,Add-On,C12,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2376,V5,CATIA MECHANICAL SURFACE REFINEMENT 2 Product,5CP-SRF,Shareable,SRF,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2632,V5,DELMIA - Generative Assembly Work Instruction Authoring,5CB-AWI,Package,AWI,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
